close,epoch,high,low,open
1.08891,1701453600,1.0893,1.08786,1.08818
1.08722,1701457200,1.08928,1.08702,1.08891
1.08752,1701460800,1.08793,1.0871,1.08721
1.08717,1701648000,1.08868,1.08702,1.08859
1.08733,1701651600,1.08775,1.08667,1.08718
1.08829,1701655200,1.08845,1.08701,1.08733
1.08802,1701658800,1.0886,1.08802,1.08828
1.08717,1701662400,1.08807,1.08701,1.08803
1.08694,1701666000,1.08728,1.08685,1.08715
1.08691,1701669600,1.08766,1.0867,1.08694
1.08537,1701673200,1.08693,1.08499,1.08688
1.08639,1701676800,1.08731,1.0854,1.0854
1.08748,1701680400,1.0881,1.08627,1.08641
1.08685,1701684000,1.08759,1.08589,1.08749
1.08693,1701687600,1.0879,1.08678,1.08683
1.08696,1701691200,1.08725,1.08596,1.08693
1.08547,1701694800,1.08761,1.08535,1.08695
1.08407,1701698400,1.0855,1.08198,1.08546
1.08149,1701702000,1.08435,1.08043,1.08402
1.08229,1701705600,1.08247,1.08117,1.08148
1.08257,1701709200,1.08269,1.08178,1.08231
1.08169,1701712800,1.08267,1.08152,1.08257
1.08276,1701716400,1.08293,1.08161,1.08169
1.08341,1701720000,1.08355,1.08277,1.08277
1.0836,1701723600,1.08371,1.08333,1.08341
1.08352,1701727200,1.08363,1.08322,1.08361
1.08375,1701730800,1.08379,1.08339,1.0835
1.08435,1701734400,1.08463,1.08363,1.08375
1.08393,1701738000,1.08446,1.08346,1.08435
1.08367,1701741600,1.0843,1.08348,1.08394
1.08405,1701745200,1.08432,1.08363,1.08368
1.08443,1701748800,1.08446,1.08396,1.08405
1.08474,1701752400,1.08475,1.08397,1.08441
1.08342,1701756000,1.08476,1.08318,1.08475
1.08075,1701759600,1.08342,1.08042,1.08342
1.08338,1701763200,1.08345,1.08063,1.08075
1.08321,1701766800,1.08426,1.08306,1.08339
1.08325,1701770400,1.08398,1.08297,1.0832
1.08188,1701774000,1.08367,1.08152,1.08324
1.08143,1701777600,1.08218,1.08125,1.08187
1.08289,1701781200,1.0834,1.08138,1.08142
1.08097,1701784800,1.08304,1.08017,1.08288
1.08058,1701788400,1.08388,1.07995,1.08091
1.07862,1701792000,1.08131,1.07819,1.08056
1.0792,1701795600,1.07975,1.07856,1.07861
1.07853,1701799200,1.07929,1.07783,1.0792
1.0784,1701802800,1.07866,1.07811,1.07848
1.07952,1701806400,1.07978,1.07817,1.07841
1.07964,1701810000,1.0799,1.07936,1.07952
1.07977,1701813600,1.0799,1.07905,1.0797
1.07934,1701817200,1.07976,1.07905,1.07976
1.07955,1701820800,1.07966,1.07892,1.07936
1.07921,1701824400,1.07986,1.07879,1.07955
1.07923,1701828000,1.07938,1.07881,1.07922
1.07969,1701831600,1.07987,1.07919,1.07922
1.07945,1701835200,1.07997,1.07936,1.07968
1.08012,1701838800,1.0802,1.07918,1.07943
1.07879,1701842400,1.08014,1.07879,1.08012
1.07904,1701846000,1.07932,1.0778,1.07879
1.07868,1701849600,1.07902,1.07751,1.07902
1.07911,1701853200,1.07978,1.07861,1.07869
1.07911,1701856800,1.07961,1.07875,1.07912
1.07799,1701860400,1.0791,1.07781,1.0791
1.07775,1701864000,1.07807,1.07722,1.07799
1.07982,1701867600,1.07997,1.07771,1.07775
1.07951,1701871200,1.08047,1.07888,1.0798
1.07902,1701874800,1.08004,1.07856,1.0795
1.07893,1701878400,1.08004,1.07839,1.07901
1.07816,1701882000,1.07921,1.07808,1.07894
1.07784,1701885600,1.07844,1.07715,1.07816
1.07686,1701889200,1.0779,1.07672,1.07784
1.07625,1701892800,1.07696,1.07587,1.07685
1.07646,1701896400,1.07664,1.07622,1.07623
1.07677,1701900000,1.0769,1.07638,1.07645
1.07664,1701903600,1.07684,1.07645,1.07684
1.07689,1701907200,1.07724,1.07656,1.07662
1.07673,1701910800,1.07715,1.07642,1.07688
1.07651,1701914400,1.07711,1.07621,1.07672
1.07599,1701918000,1.07656,1.07595,1.07651
1.07605,1701921600,1.07627,1.07581,1.07598
1.07618,1701925200,1.07632,1.07571,1.07605
1.07638,1701928800,1.07668,1.07588,1.07617
1.0781,1701932400,1.07813,1.07554,1.07642
1.07801,1701936000,1.07829,1.0772,1.0781
1.07799,1701939600,1.07845,1.07719,1.07803
1.07713,1701943200,1.07834,1.07641,1.078
1.0771,1701946800,1.07772,1.07637,1.07714
1.07693,1701950400,1.07743,1.07594,1.07708
1.07903,1701954000,1.07979,1.07617,1.07693
1.0771,1701957600,1.07919,1.07709,1.07902
1.07841,1701961200,1.07934,1.07672,1.07711
1.07938,1701964800,1.07957,1.07839,1.07839
1.08138,1701968400,1.08176,1.07893,1.07939
1.08055,1701972000,1.08139,1.08028,1.08139
1.07985,1701975600,1.08061,1.07984,1.08055
1.07956,1701979200,1.08039,1.07953,1.07984
1.07939,1701982800,1.07963,1.07906,1.07956
1.07937,1701986400,1.07983,1.07917,1.07938
1.07897,1701990000,1.0797,1.07895,1.07937
1.07962,1701993600,1.07975,1.07885,1.07896
1.07882,1701997200,1.08007,1.07852,1.07961
1.07896,1702000800,1.07901,1.07838,1.07883
1.07922,1702004400,1.07957,1.07881,1.07896
1.07831,1702008000,1.0792,1.07829,1.0792
1.0784,1702011600,1.07894,1.07824,1.07831
1.07795,1702015200,1.07874,1.07791,1.0784
1.07792,1702018800,1.07825,1.07731,1.07794
1.07894,1702022400,1.07913,1.0777,1.07791
1.07769,1702026000,1.07896,1.07725,1.07896
1.07841,1702029600,1.07898,1.07755,1.0777
1.07829,1702033200,1.07875,1.07781,1.07841
1.07774,1702036800,1.0786,1.07753,1.07829
1.07472,1702040400,1.07799,1.0724,1.07774
1.0746,1702044000,1.07533,1.07306,1.07469
1.07683,1702047600,1.07859,1.07464,1.07464
1.07448,1702051200,1.07704,1.07438,1.07683
1.0756,1702054800,1.07578,1.07405,1.07448
1.07572,1702058400,1.07626,1.0753,1.0756
1.07588,1702062000,1.07618,1.07566,1.07571
1.07636,1702065600,1.07666,1.0757,1.07588
1.0772,1702252800,1.07737,1.07651,1.07652
1.07675,1702256400,1.0774,1.07673,1.0772
1.07662,1702260000,1.07681,1.0764,1.07677
1.0765,1702263600,1.07678,1.07637,1.07662
1.07633,1702267200,1.07652,1.0761,1.0765
1.07681,1702270800,1.07684,1.07623,1.07632
1.07696,1702274400,1.0771,1.07668,1.0768
1.07557,1702278000,1.07696,1.07531,1.07695
